case,tick,unit,x,y,dest_x,dest_y,state,health,shield,shield_expiry,stun_expiry
heal_no_revive,1,1,3,3,-1,-1,3,10000,0,0,0
heal_no_revive,1,2,3,2,-1,-1,3,100000,0,0,0
heal_no_revive,1,1048579,3,4,-1,-1,3,100000,0,0,0
heal_no_revive,2,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,2,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,2,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,3,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,3,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,3,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,4,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,4,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,4,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,5,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,5,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,5,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,6,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,6,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,6,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,7,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,7,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,7,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,8,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,8,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,8,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,9,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,9,2,3,2,-1,-1,3,100000,0,0,0
heal_no_revive,9,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,10,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,10,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,10,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,11,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,11,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,11,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,12,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,12,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,12,1048579,3,4,-1,-1,4,100000,0,0,0
heal_no_revive,13,1,3,3,-1,-1,8,0,0,0,0
heal_no_revive,13,2,3,2,-1,-1,4,100000,0,0,0
heal_no_revive,13,1048579,3,4,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,1,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,1,2,4,3,-1,-1,3,100000,0,0,0
horizontal_orthogonal_corner,1,1048579,5,5,-1,-1,3,100000,0,0,0
horizontal_orthogonal_corner,2,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,2,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,2,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,3,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,3,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,3,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,4,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,4,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,4,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,5,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,5,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,5,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,6,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,6,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,6,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,7,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,7,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,7,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,8,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,8,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,8,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,9,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,9,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,9,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,10,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,10,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,10,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,11,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,11,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,11,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,12,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,12,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,12,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,13,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,13,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,13,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,14,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,14,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,14,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,15,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,15,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,15,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,16,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,16,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,16,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,17,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,17,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,17,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,18,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,18,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,18,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,19,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,19,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,19,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,20,1,3,3,3,4,2,100000,0,0,0
horizontal_orthogonal_corner,20,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,20,1048579,5,5,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,21,1,3,4,4,4,2,100000,0,0,0
horizontal_orthogonal_corner,21,2,4,3,-1,-1,4,100000,0,0,0
horizontal_orthogonal_corner,21,1048579,5,5,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,1,1,3,2,4,2,2,100000,0,0,0
vertical_orthogonal_corner,1,2,3,3,-1,-1,3,100000,0,0,0
vertical_orthogonal_corner,1,1048579,5,4,-1,-1,3,100000,0,0,0
vertical_orthogonal_corner,2,1,3,2,4,2,2,100000,0,0,0
vertical_orthogonal_corner,2,2,3,3,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,2,1048579,5,4,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,3,1,3,2,4,2,2,100000,0,0,0
vertical_orthogonal_corner,3,2,3,3,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,3,1048579,5,4,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,4,1,3,2,4,2,2,100000,0,0,0
vertical_orthogonal_corner,4,2,3,3,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,4,1048579,5,4,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,5,1,3,2,4,2,2,100000,0,0,0
vertical_orthogonal_corner,5,2,3,3,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,5,1048579,5,4,-1,-1,4,100000,0,0,0
vertical_orthogonal_corner,6,1,3,2,4,2,2,100000,0,0,0
