experiment,seed,round,seat,winner,timeout,health_after,damage,reward
0,1,1,0,0,0,60,0,2
0,1,1,1,0,0,60,0,2
0,1,1,2,0,0,60,0,2
0,1,1,3,0,0,60,0,2
0,1,1,4,0,0,60,0,2
0,1,1,5,0,0,60,0,2
0,1,1,6,0,0,60,0,2
0,1,1,7,0,0,60,0,2
0,1,2,0,0,0,60,0,2
0,1,2,1,0,0,60,0,2
0,1,2,2,0,0,60,0,2
0,1,2,3,0,0,60,0,2
0,1,2,4,0,0,60,0,2
0,1,2,5,0,0,60,0,2
0,1,2,6,0,0,60,0,2
0,1,2,7,0,0,60,0,2
0,1,3,0,0,0,60,0,2
0,1,3,1,0,0,60,0,2
0,1,3,2,0,0,60,0,2
0,1,3,3,0,0,60,0,2
0,1,3,4,0,0,60,0,2
0,1,3,5,0,0,60,0,2
0,1,3,6,0,0,60,0,2
0,1,3,7,0,0,60,0,2
0,1,5,0,0,0,56,0,2
0,1,5,1,0,0,54,0,2
0,1,5,2,0,0,60,0,2
0,1,5,3,0,0,60,0,2
0,1,5,4,0,0,56,0,2
0,1,5,5,0,0,54,0,2
0,1,5,6,0,0,60,0,2
0,1,5,7,0,0,60,0,2
0,1,10,0,0,0,56,0,2
0,1,10,1,0,0,38,0,2
0,1,10,2,0,0,38,0,2
0,1,10,3,0,0,48,0,2
0,1,10,4,0,0,43,0,2
0,1,10,5,0,0,42,0,2
0,1,10,6,0,0,51,0,2
0,1,10,7,0,0,60,0,2
0,1,15,0,0,0,44,0,2
0,1,15,1,0,0,11,0,2
0,1,15,2,0,0,5,0,2
0,1,15,3,0,0,23,0,2
0,1,15,4,0,0,43,0,2
0,1,15,5,0,0,26,0,2
0,1,15,6,0,0,51,0,2
0,1,15,7,0,0,60,0,2
0,1,20,0,0,0,33,0,2
0,1,20,4,0,0,9,0,2
0,1,20,5,0,0,26,0,2
0,1,20,6,0,0,28,0,2
0,1,20,7,0,0,60,0,2
0,1,25,5,0,0,17,0,2
0,1,25,7,0,0,60,0,2
0,2,1,0,0,0,60,0,2
0,2,1,1,0,0,60,0,2
0,2,1,2,0,0,60,0,2
0,2,1,3,0,0,60,0,2
0,2,1,4,0,0,60,0,2
0,2,1,5,0,0,60,0,2
0,2,1,6,0,0,60,0,2
0,2,1,7,0,0,60,0,2
0,2,2,0,0,0,60,0,2
0,2,2,1,0,0,60,0,2
0,2,2,2,0,0,60,0,2
0,2,2,3,0,0,60,0,2
0,2,2,4,0,0,60,0,2
0,2,2,5,0,0,60,0,2
0,2,2,6,0,0,60,0,2
0,2,2,7,0,0,60,0,2
0,2,3,0,0,0,60,0,2
0,2,3,1,0,0,60,0,2
0,2,3,2,0,0,60,0,2
0,2,3,3,0,0,60,0,2
0,2,3,4,0,0,60,0,2
0,2,3,5,0,0,60,0,2
0,2,3,6,0,0,60,0,2
0,2,3,7,0,0,60,0,2
0,2,5,0,0,0,54,0,2
0,2,5,1,0,0,60,0,2
0,2,5,2,0,0,60,0,2
0,2,5,3,0,0,60,0,2
0,2,5,4,0,0,55,0,2
0,2,5,5,0,0,60,0,2
0,2,5,6,0,0,54,0,2
0,2,5,7,0,0,56,0,2
0,2,10,0,0,0,39,0,2
0,2,10,1,0,0,48,0,2
0,2,10,2,0,0,45,0,2
0,2,10,3,0,0,54,0,2
0,2,10,4,0,0,38,0,2
0,2,10,5,0,0,46,0,2
0,2,10,6,0,0,42,0,2
0,2,10,7,0,0,56,0,2
0,2,15,0,0,0,17,0,2
0,2,15,1,0,0,32,0,2
0,2,15,2,0,0,18,0,2
0,2,15,3,0,0,54,0,2
0,2,15,4,0,0,8,0,2
0,2,15,5,0,0,32,0,2
0,2,15,6,0,0,39,0,2
0,2,15,7,0,0,56,0,2
0,2,20,1,0,0,18,0,2
0,2,20,3,0,0,54,0,2
0,2,20,5,0,0,15,0,2
0,2,20,6,0,0,4,0,2
0,2,20,7,0,0,56,0,2
0,2,25,3,0,0,39,0,2
0,2,25,7,0,0,56,0,2
0,2,30,3,0,0,23,0,2
0,2,30,7,0,0,42,0,2
0,3,1,0,0,0,60,0,2
0,3,1,1,0,0,60,0,2
0,3,1,2,0,0,60,0,2
0,3,1,3,0,0,60,0,2
0,3,1,4,0,0,60,0,2
0,3,1,5,0,0,60,0,2
0,3,1,6,0,0,60,0,2
0,3,1,7,0,0,60,0,2
0,3,2,0,0,0,60,0,2
0,3,2,1,0,0,60,0,2
0,3,2,2,0,0,60,0,2
0,3,2,3,0,0,60,0,2
0,3,2,4,0,0,60,0,2
0,3,2,5,0,0,60,0,2
0,3,2,6,0,0,60,0,2
0,3,2,7,0,0,60,0,2
0,3,3,0,0,0,60,0,2
0,3,3,1,0,0,60,0,2
0,3,3,2,0,0,60,0,2
0,3,3,3,0,0,60,0,2
0,3,3,4,0,0,60,0,2
0,3,3,5,0,0,60,0,2
0,3,3,6,0,0,60,0,2
0,3,3,7,0,0,60,0,2
0,3,5,0,0,0,60,0,2
0,3,5,1,0,0,53,0,2
0,3,5,2,0,0,60,0,2
0,3,5,3,0,0,53,0,2
0,3,5,4,0,0,60,0,2
0,3,5,5,0,0,55,0,2
0,3,5,6,0,0,56,0,2
0,3,5,7,0,0,60,0,2
0,3,10,0,0,0,60,0,2
0,3,10,1,0,0,44,0,2
0,3,10,2,0,0,40,0,2
0,3,10,3,0,0,26,0,2
0,3,10,4,0,0,48,0,2
0,3,10,5,0,0,55,0,2
0,3,10,6,0,0,36,0,2
0,3,10,7,0,0,55,0,2
0,3,15,0,0,0,31,0,2
0,3,15,1,0,0,29,0,2
0,3,15,2,0,0,33,0,2
0,3,15,3,0,0,12,0,2
0,3,15,4,0,0,24,0,2
0,3,15,5,0,0,55,0,2
0,3,15,6,0,0,7,0,2
0,3,15,7,0,0,55,0,2
0,3,20,0,0,0,10,0,2
0,3,20,1,0,0,12,0,2
0,3,20,2,0,0,24,0,2
0,3,20,5,0,0,55,0,2
0,3,20,7,0,0,41,0,2
0,3,25,5,0,0,46,0,2
0,3,25,7,0,0,41,0,2
0,3,30,5,0,0,22,0,2
0,3,30,7,0,0,34,0,2
0,4,1,0,0,0,60,0,2
0,4,1,1,0,0,60,0,2
0,4,1,2,0,0,60,0,2
0,4,1,3,0,0,60,0,2
0,4,1,4,0,0,60,0,2
0,4,1,5,0,0,60,0,2
0,4,1,6,0,0,60,0,2
0,4,1,7,0,0,60,0,2
0,4,2,0,0,0,60,0,2
0,4,2,1,0,0,60,0,2
0,4,2,2,0,0,60,0,2
0,4,2,3,0,0,60,0,2
0,4,2,4,0,0,60,0,2
0,4,2,5,0,0,60,0,2
0,4,2,6,0,0,60,0,2
0,4,2,7,0,0,60,0,2
0,4,3,0,0,0,60,0,2
0,4,3,1,0,0,60,0,2
0,4,3,2,0,0,60,0,2
0,4,3,3,0,0,60,0,2
0,4,3,4,0,0,60,0,2
0,4,3,5,0,0,60,0,2
0,4,3,6,0,0,60,0,2
0,4,3,7,0,0,60,0,2
0,4,5,0,0,0,55,0,2
0,4,5,1,0,0,60,0,2
0,4,5,2,0,0,56,0,2
0,4,5,3,0,0,60,0,2
0,4,5,4,0,0,60,0,2
0,4,5,5,0,0,53,0,2
0,4,5,6,0,0,60,0,2
0,4,5,7,0,0,54,0,2
0,4,10,0,0,0,55,0,2
0,4,10,1,0,0,60,0,2
0,4,10,2,0,0,56,0,2
0,4,10,3,0,0,42,0,2
0,4,10,4,0,0,34,0,2
0,4,10,5,0,0,36,0,2
0,4,10,6,0,0,41,0,2
0,4,10,7,0,0,37,0,2
0,4,15,0,0,0,51,0,2
0,4,15,1,0,0,60,0,2
0,4,15,2,0,0,51,0,2
0,4,15,3,0,0,11,0,2
0,4,15,4,0,0,17,0,2
0,4,15,5,0,0,6,0,2
0,4,15,6,0,0,29,0,2
0,4,15,7,0,0,31,0,2
0,4,20,0,0,0,40,0,2
0,4,20,1,0,0,60,0,2
0,4,20,2,0,0,45,0,2
0,4,20,6,0,0,22,0,2
0,4,20,7,0,0,2,0,2
0,4,25,1,0,0,41,0,2
0,4,25,2,0,0,35,0,2
0,4,25,6,0,0,12,0,2
0,4,30,1,0,0,4,0,2
0,4,30,2,0,0,35,0,2
0,4,30,6,0,0,4,0,2
0,5,1,0,0,0,60,0,2
0,5,1,1,0,0,60,0,2
0,5,1,2,0,0,60,0,2
0,5,1,3,0,0,60,0,2
0,5,1,4,0,0,60,0,2
0,5,1,5,0,0,60,0,2
0,5,1,6,0,0,60,0,2
0,5,1,7,0,0,60,0,2
0,5,2,0,0,0,60,0,2
0,5,2,1,0,0,60,0,2
0,5,2,2,0,0,60,0,2
0,5,2,3,0,0,60,0,2
0,5,2,4,0,0,60,0,2
0,5,2,5,0,0,60,0,2
0,5,2,6,0,0,60,0,2
0,5,2,7,0,0,60,0,2
