seed,round,definition,star,effect,events
1,14,wc_u_halfling_warrior,2,2,12
1,14,wc_u_human_guardian,2,2,4
1,14,wc_u_orc_guardian,2,2,12
1,14,wc_u_orc_warrior,2,5,4
1,15,wc_n_stoneback,1,2,1
1,15,wc_u_elf_ranger,2,4,1
1,15,wc_u_halfling_ranger,2,5,2
1,15,wc_u_halfling_warrior,2,2,2
1,15,wc_u_human_guardian,2,2,1
1,15,wc_u_orc_warrior,2,5,4
1,15,wc_n_sentinel,1,3,3
1,15,wc_n_stoneback,1,2,1
1,15,wc_u_dwarf_guardian,2,3,3
1,15,wc_u_dwarf_warrior,1,0,2
1,15,wc_u_halfling_rogue,2,3,3
1,15,wc_u_halfling_warrior,2,2,1
1,15,wc_u_human_guardian,1,2,3
1,15,wc_u_human_priest,2,1,4
1,15,wc_n_sentinel,1,3,2
1,15,wc_u_dwarf_guardian,2,3,2
1,15,wc_u_dwarf_warrior,2,0,3
1,15,wc_u_halfling_mage,2,0,3
1,15,wc_u_halfling_warrior,2,2,4
1,15,wc_n_sentinel,1,3,1
1,15,wc_u_dwarf_guardian,1,3,2
1,15,wc_u_dwarf_ranger,1,0,2
1,15,wc_u_halfling_mage,2,0,3
1,15,wc_u_halfling_ranger,2,5,2
1,15,wc_u_human_guardian,2,2,2
1,15,wc_u_human_warrior,1,0,2
1,15,wc_n_sentinel,1,3,3
1,15,wc_n_stoneback,1,2,1
1,15,wc_u_dragonkin_guardian,2,2,2
1,15,wc_u_halfling_ranger,2,5,2
1,15,wc_u_halfling_warrior,2,2,4
1,15,wc_u_orc_guardian,2,2,2
1,15,wc_u_orc_warrior,2,5,1
1,15,wc_n_sentinel,1,3,2
1,15,wc_n_stoneback,1,2,1
1,15,wc_u_dwarf_guardian,1,3,3
1,15,wc_u_dwarf_warrior,1,0,2
1,15,wc_u_halfling_mage,2,0,3
1,15,wc_u_human_guardian,2,2,2
1,15,wc_u_orc_mage,1,0,4
1,15,wc_n_sentinel,1,3,3
1,15,wc_u_dwarf_guardian,2,3,3
1,15,wc_u_halfling_ranger,2,5,2
1,15,wc_u_halfling_warrior,2,2,4
1,15,wc_u_human_guardian,2,2,2
1,15,wc_u_orc_guardian,2,2,3
1,16,wc_u_dragonkin_guardian,2,2,4
1,16,wc_u_dwarf_guardian,2,3,5
1,16,wc_u_dwarf_warrior,2,0,3
1,16,wc_u_halfling_mage,2,0,9
1,16,wc_u_halfling_ranger,2,5,5
1,16,wc_u_halfling_warrior,2,2,11
1,16,wc_u_human_guardian,2,2,3
1,16,wc_u_human_warrior,1,0,1
1,16,wc_u_orc_guardian,2,2,6
1,16,wc_u_orc_warrior,2,5,1
1,16,wc_u_dwarf_guardian,1,3,3
1,16,wc_u_dwarf_warrior,1,0,4
1,16,wc_u_elf_ranger,2,4,1
1,16,wc_u_halfling_mage,2,0,6
1,16,wc_u_halfling_ranger,2,5,3
1,16,wc_u_halfling_warrior,2,2,3
1,16,wc_u_human_guardian,2,2,4
1,16,wc_u_orc_mage,1,0,6
1,16,wc_u_orc_warrior,2,5,4
1,16,wc_u_dwarf_guardian,2,3,10
1,16,wc_u_dwarf_warrior,1,0,7
